review_id,customer_id,date,rating,review_text,source_event
R1,C76821,2026-01-01,5,Received order on time,Normal Operations
R2,C37195,2026-01-01,5,Customer service was helpful,Normal Operations
R3,C44132,2026-01-01,5,Easy checkout process,Normal Operations
R4,C67222,2026-01-01,5,Will buy again from this store,Normal Operations
R5,C62956,2026-01-01,5,Good quality product,Normal Operations
R6,C5312,2026-01-01,4,Very satisfied with my purchase,Normal Operations
R7,C53708,2026-01-01,4,Received order on time,Normal Operations
R8,C93017,2026-01-01,5,Excellent shopping experience,Normal Operations
R9,C84479,2026-01-01,5,Great product and fast delivery,Normal Operations
R10,C2748,2026-01-01,4,Excellent shopping experience,Normal Operations
R11,C84655,2026-01-01,4,Will buy again from this store,Normal Operations
R12,C56887,2026-01-01,4,Very satisfied with my purchase,Normal Operations
R13,C11395,2026-01-01,5,Received order on time,Normal Operations
R14,C96277,2026-01-01,5,Good quality product,Normal Operations
R15,C10628,2026-01-01,4,Great product and fast delivery,Normal Operations
R16,C73970,2026-01-01,5,Great product and fast delivery,Normal Operations
R17,C68149,2026-01-01,4,Excellent shopping experience,Normal Operations
R18,C23484,2026-01-01,5,Excellent shopping experience,Normal Operations
R19,C17160,2026-01-01,5,Customer service was helpful,Normal Operations
R20,C35921,2026-01-01,4,Customer service was helpful,Normal Operations
R21,C89476,2026-01-01,4,Received order on time,Normal Operations
R22,C78954,2026-01-02,5,Very satisfied with my purchase,Normal Operations
R23,C45759,2026-01-02,4,Received order on time,Normal Operations
R24,C65698,2026-01-02,5,Excellent shopping experience,Normal Operations
R25,C32607,2026-01-02,5,Excellent shopping experience,Normal Operations
R26,C40398,2026-01-02,4,Will buy again from this store,Normal Operations
R27,C89790,2026-01-02,5,Customer service was helpful,Normal Operations
R28,C24301,2026-01-02,5,Will buy again from this store,Normal Operations
R29,C86808,2026-01-02,5,Excellent shopping experience,Normal Operations
R30,C39100,2026-01-02,5,Excellent shopping experience,Normal Operations
R31,C38045,2026-01-02,4,Received order on time,Normal Operations
R32,C48985,2026-01-02,4,Customer service was helpful,Normal Operations
R33,C62593,2026-01-02,5,Customer service was helpful,Normal Operations
R34,C48191,2026-01-02,4,Received order on time,Normal Operations
R35,C33160,2026-01-02,4,Easy checkout process,Normal Operations
R36,C12667,2026-01-02,5,Easy checkout process,Normal Operations
R37,C64506,2026-01-02,5,Good quality product,Normal Operations
R38,C30536,2026-01-03,5,Received order on time,Normal Operations
R39,C89136,2026-01-03,4,Received order on time,Normal Operations
R40,C79576,2026-01-03,4,Customer service was helpful,Normal Operations
R41,C63336,2026-01-03,5,Good quality product,Normal Operations
R42,C70593,2026-01-03,5,Very satisfied with my purchase,Normal Operations
R43,C79310,2026-01-03,4,Easy checkout process,Normal Operations
R44,C98807,2026-01-03,5,Easy checkout process,Normal Operations
R45,C207,2026-01-03,4,Customer service was helpful,Normal Operations
R46,C23420,2026-01-03,4,Customer service was helpful,Normal Operations
R47,C50016,2026-01-03,4,Good quality product,Normal Operations
R48,C54269,2026-01-03,5,Customer service was helpful,Normal Operations
R49,C80357,2026-01-03,5,Will buy again from this store,Normal Operations
R50,C67215,2026-01-03,5,Customer service was helpful,Normal Operations
R51,C55821,2026-01-03,4,Easy checkout process,Normal Operations
R52,C93427,2026-01-03,5,Will buy again from this store,Normal Operations
R53,C64045,2026-01-03,5,Very satisfied with my purchase,Normal Operations
