order_id,customer_id,order_date,region,category,revenue,payment_status,shipping_status
O1,C76821,2026-01-01,East,Fashion,199.78,Success,Delivered
O2,C44132,2026-01-01,West,Home,94.88,Success,Delivered
O3,C67970,2026-01-01,West,Books,29.88,Success,Delivered
O4,C93017,2026-01-01,North,Home,108.03,Success,Delivered
O5,C59151,2026-01-01,South,Home,313.69,Success,Delivered
O6,C69093,2026-01-01,East,Store,0.0,Failed,Delivered
O7,C73970,2026-01-01,South,Electronics,236.24,Success,In Transit
O8,C23484,2026-01-01,East,Books,27.66,Success,Delivered
O9,C92068,2026-01-01,South,Books,257.68,Success,In Transit
O10,C40758,2026-01-01,North,Fashion,169.62,Success,Delivered
O11,C32607,2026-01-01,West,Books,392.06,Success,Delivered
O12,C74066,2026-01-01,East,Store,41.71,Success,Delivered
O13,C38045,2026-01-01,East,Store,301.64,Success,Delivered
O14,C67564,2026-01-01,West,Home,0.0,Failed,Delivered
O15,C12667,2026-01-01,North,Fashion,115.44,Success,Delivered
O16,C30536,2026-01-01,West,Fashion,192.06,Success,Delivered
O17,C96355,2026-01-01,West,Home,65.8,Success,Delivered
O18,C27267,2026-01-01,North,Store,289.4,Success,In Transit
O19,C207,2026-01-01,East,Fashion,289.41,Success,Delivered
O20,C54269,2026-01-01,West,Books,32.2,Success,Delivered
O21,C33828,2026-01-01,North,Home,455.63,Success,Delivered
O22,C42558,2026-01-01,North,Store,353.5,Success,Delivered
O23,C48926,2026-01-01,South,Home,438.3,Success,Delivered
O24,C23777,2026-01-01,North,Electronics,175.69,Success,Delivered
O25,C9475,2026-01-01,East,Home,330.89,Success,Delivered
O26,C66200,2026-01-01,East,Home,220.36,Success,Delivered
O27,C54385,2026-01-01,South,Electronics,175.14,Success,Delivered
O28,C89475,2026-01-01,North,Store,141.88,Success,Delivered
O29,C855,2026-01-01,North,Electronics,156.72,Success,Delivered
O30,C26310,2026-01-01,West,Books,324.49,Success,Delivered
O31,C37158,2026-01-01,West,Store,58.81,Success,Delivered
O32,C80624,2026-01-01,West,Electronics,323.51,Success,Delivered
O33,C91907,2026-01-01,West,Books,92.34,Success,Delivered
O34,C11412,2026-01-01,West,Books,345.23,Success,Delivered
O35,C11112,2026-01-01,North,Home,471.45,Success,Delivered
O36,C85982,2026-01-01,South,Home,183.71,Success,In Transit
O37,C16372,2026-01-01,West,Electronics,129.7,Success,In Transit
O38,C29856,2026-01-01,East,Electronics,136.09,Success,Delivered
O39,C4500,2026-01-01,West,Electronics,153.86,Success,Delivered
O40,C53352,2026-01-01,West,Home,328.18,Success,Delivered
O41,C68498,2026-01-01,West,Fashion,198.7,Success,In Transit
O42,C94180,2026-01-01,North,Books,253.09,Success,In Transit
O43,C22400,2026-01-01,West,Home,133.88,Success,Delivered
O44,C40819,2026-01-01,South,Store,335.65,Success,Delivered
O45,C48405,2026-01-01,South,Electronics,253.64,Success,Delivered
O46,C40765,2026-01-01,West,Home,296.91,Success,Delivered
O47,C56492,2026-01-01,West,Store,294.56,Success,Delivered
O48,C33829,2026-01-01,West,Store,154.19,Success,Delivered
O49,C54241,2026-01-01,West,Store,225.53,Success,In Transit
O50,C26642,2026-01-01,North,Fashion,204.85,Success,Delivered
O51,C36632,2026-01-01,South,Fashion,469.35,Success,Delivered
O52,C27752,2026-01-01,North,Electronics,142.0,Success,Delivered
O53,C19191,2026-01-01,South,Home,357.19,Success,Delivered
O54,C89913,2026-01-01,West,Store,142.98,Success,Delivered
O55,C76430,2026-01-01,West,Home,113.25,Success,Delivered
O56,C10967,2026-01-01,East,Home,182.24,Success,Delivered
O57,C55610,2026-01-01,South,Electronics,243.49,Success,Delivered
O58,C68028,2026-01-01,North,Electronics,37.93,Success,Delivered
O59,C87143,2026-01-01,West,Store,417.38,Success,In Transit
O60,C72616,2026-01-01,West,Store,113.3,Success,Delivered
O61,C73848,2026-01-01,East,Home,485.38,Success,Delivered
O62,C8309,2026-01-01,South,Electronics,230.71,Success,Delivered
O63,C46176,2026-01-01,South,Electronics,350.48,Success,In Transit
O64,C53223,2026-01-01,West,Store,336.89,Success,In Transit
O65,C67216,2026-01-01,East,Store,313.63,Success,Delivered
O66,C44079,2026-01-01,North,Books,77.68,Success,Delivered
O67,C94759,2026-01-01,West,Electronics,104.16,Success,Delivered
O68,C79606,2026-01-01,North,Books,243.04,Success,Delivered
O69,C9824,2026-01-01,North,Store,41.75,Success,Delivered
O70,C30978,2026-01-01,North,Books,348.3,Success,In Transit
O71,C72370,2026-01-01,East,Books,301.17,Success,Delivered
O72,C97857,2026-01-01,North,Fashion,81.68,Success,Delivered
O73,C3374,2026-01-01,South,Store,119.21,Success,Delivered
O74,C25352,2026-01-01,North,Fashion,65.33,Success,Delivered
O75,C20359,2026-01-01,West,Fashion,347.17,Success,Delivered
O76,C33497,2026-01-01,North,Store,354.43,Success,Delivered
O77,C47296,2026-01-01,East,Electronics,155.38,Success,Delivered
O78,C34912,2026-01-01,West,Store,371.19,Success,Delivered
O79,C68451,2026-01-01,North,Electronics,134.53,Success,Delivered
O80,C66235,2026-01-01,East,Electronics,276.48,Success,Delivered
O81,C69897,2026-01-01,East,Books,45.67,Success,Delivered
O82,C5487,2026-01-01,West,Store,476.03,Success,Delivered
O83,C87509,2026-01-01,West,Store,64.02,Success,Delivered
O84,C21546,2026-01-01,South,Fashion,399.96,Success,Delivered
O85,C6802,2026-01-01,East,Books,231.93,Success,Delivered
O86,C44262,2026-01-01,East,Store,350.25,Success,Delivered
O87,C83461,2026-01-01,North,Store,126.84,Success,Delivered
O88,C83286,2026-01-01,West,Electronics,131.95,Success,Delivered
O89,C35910,2026-01-01,West,Home,0.0,Failed,Delivered
O90,C55130,2026-01-01,East,Home,393.03,Success,Delivered
O91,C30356,2026-01-01,West,Store,141.77,Success,Delivered
O92,C80220,2026-01-01,South,Electronics,414.94,Success,Delivered
O93,C67642,2026-01-01,West,Store,199.94,Success,Delivered
O94,C93046,2026-01-01,North,Home,485.54,Success,Delivered
O95,C71727,2026-01-01,North,Electronics,461.18,Success,Delivered
O96,C68867,2026-01-01,West,Electronics,353.96,Success,Delivered
O97,C90470,2026-01-01,West,Books,459.32,Success,Delivered
O98,C84666,2026-01-01,West,Fashion,181.12,Success,Delivered
O99,C47606,2026-01-01,East,Electronics,147.65,Success,Delivered
O100,C97008,2026-01-01,North,Store,154.29,Success,Delivered
O101,C49408,2026-01-01,North,Electronics,457.25,Success,In Transit
O102,C95085,2026-01-01,North,Electronics,220.76,Success,Delivered
O103,C62293,2026-01-01,South,Electronics,393.25,Success,In Transit
O104,C18018,2026-01-01,North,Home,485.56,Success,Delivered
O105,C12764,2026-01-01,North,Store,84.25,Success,Delivered
O106,C23525,2026-01-01,North,Store,0.0,Failed,Delivered
O107,C38766,2026-01-01,North,Home,383.4,Success,Delivered
O108,C45544,2026-01-01,West,Fashion,151.87,Success,Delivered
O109,C58018,2026-01-01,South,Home,191.92,Success,Delivered
O110,C24286,2026-01-01,East,Electronics,269.68,Success,Delivered
O111,C1253,2026-01-01,North,Fashion,303.18,Success,Delivered
O112,C6950,2026-01-01,South,Fashion,406.42,Success,Delivered
O113,C75746,2026-01-01,West,Electronics,325.59,Success,Delivered
O114,C70391,2026-01-01,South,Home,266.71,Success,Delivered
O115,C85393,2026-01-01,South,Electronics,354.87,Success,Delivered
O116,C14389,2026-01-01,South,Store,143.96,Success,In Transit
O117,C6255,2026-01-01,North,Home,120.38,Success,Delivered
O118,C41241,2026-01-01,East,Home,86.64,Success,Delivered
O119,C11315,2026-01-01,East,Store,267.31,Success,Delivered
O120,C79253,2026-01-01,South,Electronics,101.09,Success,Delivered
O121,C91866,2026-01-01,North,Home,276.52,Success,Delivered
O122,C10479,2026-01-01,West,Home,38.87,Success,Delivered
O123,C79105,2026-01-01,West,Electronics,462.02,Success,Delivered
O124,C56,2026-01-01,South,Fashion,0.0,Failed,Delivered
O125,C4622,2026-01-01,East,Home,384.78,Success,Delivered
O126,C38639,2026-01-01,West,Store,362.41,Success,Delivered
O127,C46272,2026-01-01,North,Store,436.26,Success,Delivered
O128,C6230,2026-01-01,South,Books,107.5,Success,Delivered
O129,C7562,2026-01-01,East,Electronics,131.94,Success,Delivered
O130,C79906,2026-01-01,East,Electronics,259.25,Success,Delivered
O131,C84660,2026-01-01,South,Fashion,290.94,Success,Delivered
O132,C28025,2026-01-02,North,Store,137.29,Success,Delivered
O133,C27140,2026-01-02,South,Home,68.86,Success,Delivered
O134,C13047,2026-01-02,East,Home,62.19,Success,Delivered
O135,C16390,2026-01-02,South,Books,28.76,Success,In Transit
O136,C84472,2026-01-02,South,Home,485.35,Success,Delivered
O137,C46515,2026-01-02,North,Books,414.01,Success,Delivered
O138,C58068,2026-01-02,North,Books,118.44,Success,Delivered
O139,C42534,2026-01-02,North,Home,136.36,Success,Delivered
O140,C59384,2026-01-02,South,Store,467.37,Success,Delivered
O141,C34388,2026-01-02,North,Store,0.0,Failed,Delivered
O142,C97830,2026-01-02,East,Home,21.3,Success,Delivered
O143,C236,2026-01-02,South,Store,187.46,Success,Delivered
O144,C5416,2026-01-02,West,Books,370.82,Success,Delivered
O145,C30524,2026-01-02,South,Home,424.08,Success,Delivered
O146,C20612,2026-01-02,North,Store,98.85,Success,Delivered
O147,C29288,2026-01-02,South,Home,302.39,Success,Delivered
O148,C9185,2026-01-02,North,Electronics,319.57,Success,Delivered
O149,C36456,2026-01-02,West,Home,451.8,Success,Delivered
O150,C83123,2026-01-02,West,Fashion,280.57,Success,Delivered
O151,C59380,2026-01-02,South,Home,86.85,Success,Delivered
O152,C64485,2026-01-02,East,Electronics,398.53,Success,Delivered
O153,C43873,2026-01-02,South,Store,36.1,Success,Delivered
O154,C40632,2026-01-02,East,Store,73.1,Success,Delivered
O155,C3757,2026-01-02,South,Home,279.13,Success,Delivered
O156,C71316,2026-01-02,East,Fashion,327.75,Success,Delivered
O157,C76078,2026-01-02,East,Books,184.41,Success,Delivered
O158,C15329,2026-01-02,East,Books,457.69,Success,Delivered
O159,C64645,2026-01-02,West,Store,304.62,Success,In Transit
O160,C55177,2026-01-02,South,Home,359.47,Success,Delivered
O161,C13719,2026-01-02,North,Store,373.49,Success,In Transit
O162,C19257,2026-01-02,North,Home,492.72,Success,Delivered
O163,C97417,2026-01-02,South,Books,303.81,Success,Delivered
