ticket_id,customer_id,date,issue_type,priority,description,source_event
T1,C76821,2026-01-01,Return Request,Low,Customer wants to return product,Normal Operations
T2,C37195,2026-01-01,Product Inquiry,Medium,Inquiry regarding product availability,Normal Operations
T3,C67222,2026-01-01,Account Question,Low,Account related inquiry,Normal Operations
T4,C67970,2026-01-01,Return Request,Low,Return process inquiry,Normal Operations
T5,C53708,2026-01-01,Account Question,Medium,Question regarding account settings,Normal Operations
T6,C25659,2026-01-01,Account Question,Low,Question regarding account settings,Normal Operations
T7,C65726,2026-01-01,Return Request,Low,Need assistance with return,Normal Operations
T8,C66804,2026-01-01,Product Inquiry,Medium,Inquiry regarding product availability,Normal Operations
T9,C3891,2026-01-01,Product Inquiry,Medium,Question about product specifications,Normal Operations
T10,C87314,2026-01-01,Refund Request,High,Requesting refund for recent purchase,Normal Operations
T11,C73970,2026-01-01,Return Request,Low,Return process inquiry,Normal Operations
T12,C23484,2026-01-01,Order Tracking,Low,Need tracking information,Normal Operations
T13,C80078,2026-01-01,Account Question,Low,Account related inquiry,Normal Operations
T14,C66558,2026-01-01,Order Tracking,Medium,Unable to track order,Normal Operations
T15,C9693,2026-01-02,Return Request,High,Return process inquiry,Normal Operations
T16,C37066,2026-01-02,Order Tracking,High,Unable to track order,Normal Operations
T17,C89790,2026-01-02,Return Request,Low,Customer wants to return product,Normal Operations
T18,C82799,2026-01-02,Account Question,High,Unable to update account information,Normal Operations
T19,C86780,2026-01-02,Order Tracking,Medium,Need tracking information,Normal Operations
T20,C38045,2026-01-02,Account Question,High,Question regarding account settings,Normal Operations
T21,C40775,2026-01-02,Refund Request,Medium,Customer requested refund,Normal Operations
T22,C5259,2026-01-02,Refund Request,Low,Requesting refund for recent purchase,Normal Operations
T23,C12667,2026-01-02,Product Inquiry,Low,Inquiry regarding product availability,Normal Operations
T24,C52252,2026-01-03,Order Tracking,High,Need tracking information,Normal Operations
T25,C52257,2026-01-03,Return Request,Low,Return process inquiry,Normal Operations
T26,C84652,2026-01-03,Account Question,Medium,Account related inquiry,Normal Operations
T27,C70593,2026-01-03,Product Inquiry,Low,Inquiry regarding product availability,Normal Operations
T28,C82949,2026-01-03,Product Inquiry,Medium,Question about product specifications,Normal Operations
T29,C207,2026-01-03,Product Inquiry,Medium,Question about product specifications,Normal Operations
T30,C50016,2026-01-03,Order Tracking,Medium,Need tracking information,Normal Operations
T31,C87940,2026-01-03,Return Request,High,Customer wants to return product,Normal Operations
T32,C33828,2026-01-03,Account Question,High,Account related inquiry,Normal Operations
T33,C22300,2026-01-03,Product Inquiry,High,Inquiry regarding product availability,Normal Operations
T34,C49081,2026-01-03,Account Question,Low,Unable to update account information,Normal Operations
T35,C42942,2026-01-03,Return Request,Medium,Return process inquiry,Normal Operations
T36,C15708,2026-01-03,Order Tracking,Low,Order status not updated,Normal Operations
T37,C66843,2026-01-03,Refund Request,Medium,Customer requested refund,Normal Operations
T38,C9475,2026-01-04,Account Question,Low,Question regarding account settings,Normal Operations
T39,C3749,2026-01-04,Product Inquiry,Medium,Question about product specifications,Normal Operations
T40,C73531,2026-01-04,Order Tracking,Low,Order status not updated,Normal Operations
T41,C51006,2026-01-04,Refund Request,High,Customer requested refund,Normal Operations
T42,C65319,2026-01-04,Return Request,Medium,Return process inquiry,Normal Operations
T43,C85617,2026-01-04,Refund Request,High,Customer requested refund,Normal Operations
T44,C94210,2026-01-04,Product Inquiry,Medium,Question about product specifications,Normal Operations
T45,C55681,2026-01-04,Account Question,Low,Question regarding account settings,Normal Operations
T46,C50860,2026-01-04,Order Tracking,Medium,Need tracking information,Normal Operations
T47,C98507,2026-01-04,Return Request,Low,Need assistance with return,Normal Operations
T48,C37158,2026-01-04,Refund Request,Low,Requesting refund for recent purchase,Normal Operations
T49,C89046,2026-01-05,Order Tracking,Medium,Unable to track order,Normal Operations
T50,C42108,2026-01-05,Refund Request,Medium,Customer requested refund,Normal Operations
T51,C49812,2026-01-05,Account Question,Low,Account related inquiry,Normal Operations
T52,C34755,2026-01-05,Return Request,High,Need assistance with return,Normal Operations
T53,C83764,2026-01-05,Return Request,High,Need assistance with return,Normal Operations
T54,C1803,2026-01-05,Order Tracking,Low,Need tracking information,Normal Operations
T55,C47255,2026-01-05,Refund Request,Medium,Refund not processed,Normal Operations
T56,C16647,2026-01-05,Order Tracking,Medium,Order status not updated,Normal Operations
T57,C16372,2026-01-05,Order Tracking,Medium,Need tracking information,Normal Operations
T58,C20933,2026-01-05,Order Tracking,High,Need tracking information,Normal Operations
T59,C43017,2026-01-05,Product Inquiry,Low,Inquiry regarding product availability,Normal Operations
T60,C59041,2026-01-06,Product Inquiry,Medium,Need more product information,Normal Operations
T61,C32712,2026-01-06,Product Inquiry,Medium,Question about product specifications,Normal Operations
T62,C48355,2026-01-06,Return Request,Low,Return process inquiry,Normal Operations
T63,C2201,2026-01-06,Refund Request,Low,Requesting refund for recent purchase,Normal Operations
T64,C2870,2026-01-06,Order Tracking,Medium,Unable to track order,Normal Operations
T65,C94180,2026-01-06,Account Question,Medium,Question regarding account settings,Normal Operations
T66,C91413,2026-01-06,Refund Request,Low,Refund not processed,Normal Operations
T67,C70272,2026-01-06,Product Inquiry,Medium,Question about product specifications,Normal Operations
T68,C40819,2026-01-06,Return Request,Medium,Need assistance with return,Normal Operations
T69,C76214,2026-01-06,Account Question,High,Account related inquiry,Normal Operations
T70,C54046,2026-01-07,Order Tracking,Medium,Need tracking information,Normal Operations
T71,C93180,2026-01-07,Refund Request,Medium,Customer requested refund,Normal Operations
T72,C73745,2026-01-07,Product Inquiry,High,Inquiry regarding product availability,Normal Operations
T73,C36213,2026-01-07,Account Question,High,Unable to update account information,Normal Operations
T74,C33829,2026-01-07,Return Request,High,Customer wants to return product,Normal Operations
T75,C45237,2026-01-07,Refund Request,Medium,Refund not processed,Normal Operations
T76,C65727,2026-01-07,Return Request,Low,Customer wants to return product,Normal Operations
T77,C26642,2026-01-07,Refund Request,Medium,Requesting refund for recent purchase,Normal Operations
T78,C51886,2026-01-07,Order Tracking,Low,Order status not updated,Normal Operations
T79,C82075,2026-01-07,Order Tracking,Low,Order status not updated,Normal Operations
T80,C78070,2026-01-08,Refund Request,Low,Customer requested refund,Normal Operations
T81,C19191,2026-01-08,Account Question,Medium,Unable to update account information,Normal Operations
T82,C10648,2026-01-08,Order Tracking,High,Need tracking information,Normal Operations
T83,C89913,2026-01-08,Order Tracking,Medium,Order status not updated,Normal Operations
T84,C77576,2026-01-08,Return Request,Medium,Customer wants to return product,Normal Operations
T85,C55767,2026-01-08,Return Request,Low,Need assistance with return,Normal Operations
T86,C10967,2026-01-08,Order Tracking,Medium,Unable to track order,Normal Operations
T87,C52922,2026-01-08,Product Inquiry,Medium,Question about product specifications,Normal Operations
T88,C55610,2026-01-08,Account Question,High,Unable to update account information,Normal Operations
T89,C53007,2026-01-09,Return Request,Low,Return process inquiry,Normal Operations
T90,C80136,2026-01-09,Return Request,Medium,Customer wants to return product,Normal Operations
T91,C87143,2026-01-09,Return Request,Low,Customer wants to return product,Normal Operations
T92,C69679,2026-01-09,Account Question,Medium,Unable to update account information,Normal Operations
T93,C17020,2026-01-09,Return Request,Medium,Customer wants to return product,Normal Operations
T94,C73848,2026-01-09,Product Inquiry,Low,Question about product specifications,Normal Operations
T95,C25946,2026-01-09,Return Request,Low,Return process inquiry,Normal Operations
T96,C51991,2026-01-09,Account Question,Medium,Unable to update account information,Normal Operations
T97,C66618,2026-01-10,Account Question,High,Question regarding account settings,Normal Operations
T98,C5238,2026-01-10,Order Tracking,Medium,Unable to track order,Normal Operations
T99,C3344,2026-01-10,Account Question,Medium,Question regarding account settings,Normal Operations
T100,C59639,2026-01-10,Account Question,Low,Unable to update account information,Normal Operations
