date,visitors,sessions,conversion_rate,bounce_rate,checkout_failures
2026-01-01,12860,15154,4.1,43.98,16
2026-01-02,12466,14704,3.09,47.99,13
2026-01-03,14919,19654,3.98,35.85,33
2026-01-04,17611,22096,3.32,37.73,30
2026-01-05,13184,14643,3.92,35.11,34
2026-01-06,12474,14556,3.6,35.7,37
2026-01-07,12975,15781,3.68,46.78,28
2026-01-08,13899,18537,4.47,42.0,14
2026-01-09,15890,17536,3.26,35.98,13
2026-01-10,12600,15963,3.84,40.78,35
2026-01-11,14612,18557,4.03,41.6,16
2026-01-12,14556,16331,3.05,48.64,13
2026-01-13,13585,18528,4.13,41.38,31
2026-01-14,17225,22068,3.28,49.54,35
2026-01-15,17675,18836,3.59,48.9,25
2026-01-16,15342,16797,3.86,42.81,39
2026-01-17,12337,14215,4.24,40.35,37
2026-01-18,12379,13871,3.21,47.03,10
2026-01-19,14568,16935,3.59,39.4,20
2026-01-20,17618,21258,4.07,46.85,36
2026-01-21,17892,22453,3.54,36.74,16
2026-01-22,12200,15063,3.67,36.43,32
2026-01-23,14454,19099,3.49,45.94,17
2026-01-24,14773,17343,3.71,36.79,23
2026-01-25,14690,19530,4.08,38.54,23
2026-01-26,12870,16712,3.78,41.41,19
2026-01-27,13484,18246,3.05,44.55,29
2026-01-28,17116,18211,4.04,37.09,16
2026-01-29,13678,17920,3.3,49.14,16
2026-01-30,13722,18036,3.24,48.95,22
2026-01-31,13597,17657,4.31,47.06,21
2026-02-01,13363,18232,4.32,39.87,32
2026-02-02,17592,21894,4.36,39.08,36
2026-02-03,16029,19709,4.23,47.91,16
2026-02-04,12709,15188,3.8,42.27,10
2026-02-05,17353,19036,3.37,37.52,33
2026-02-06,15304,20067,3.55,49.58,29
2026-02-07,13291,17872,4.04,45.68,14
2026-02-08,15696,19695,3.06,44.14,11
2026-02-09,17685,19539,3.42,48.62,28
2026-02-10,17757,19910,3.8,41.72,15
2026-02-11,17535,20829,4.01,46.42,36
2026-02-12,16496,18262,4.2,42.05,11
2026-02-13,12197,16226,3.8,36.35,10
2026-02-14,15272,17419,3.76,45.44,12
2026-02-15,12659,16470,4.02,35.25,12
2026-02-16,17630,18776,3.52,36.44,18
2026-02-17,14976,17935,3.58,49.05,10
2026-02-18,13802,17322,3.31,43.12,19
2026-02-19,17730,18992,3.99,47.26,34
2026-02-20,15643,17523,3.36,36.4,21
2026-02-21,16548,20656,4.32,37.83,18
2026-02-22,15170,17852,4.09,48.46,33
2026-02-23,15191,17887,3.96,36.26,17
2026-02-24,17539,19984,4.0,43.71,25
2026-02-25,14557,17053,4.0,35.08,23
2026-02-26,16433,21210,4.04,44.78,18
2026-02-27,16067,17227,3.03,42.41,25
2026-02-28,15987,18514,3.97,47.74,26
2026-03-01,16735,20839,1.25,63.85,298
2026-03-02,15436,16998,1.5,63.65,200
2026-03-03,12959,15463,1.02,64.68,183
2026-03-04,12016,16259,1.37,55.23,185
2026-03-05,14327,18747,1.85,59.42,239
2026-03-06,12980,16955,1.39,67.66,204
2026-03-07,17442,20337,1.36,58.81,265
2026-03-08,14537,16946,1.71,63.29,222
2026-03-09,17801,21607,1.08,55.08,192
2026-03-10,16131,17815,1.05,68.3,195
2026-03-11,13166,15281,1.47,63.14,230
2026-03-12,13148,16345,1.82,60.4,221
2026-03-13,14491,18151,1.62,56.28,287
2026-03-14,12876,14867,1.73,69.64,219
2026-03-15,12635,14764,1.74,58.76,271
2026-03-16,12116,14969,1.17,57.35,180
2026-03-17,14849,16968,1.28,69.32,288
2026-03-18,16070,17773,1.25,60.34,246
2026-03-19,17092,21249,1.04,67.83,226
2026-03-20,15059,16511,1.47,57.6,264
2026-03-21,13757,15113,1.05,60.62,279
2026-03-22,15730,19219,1.62,69.16,183
2026-03-23,16592,18487,1.57,56.93,229
2026-03-24,17052,20790,1.65,58.1,212
2026-03-25,16380,19824,1.62,60.05,294
2026-03-26,16185,17960,1.26,62.44,213
2026-03-27,12825,17397,1.42,69.51,215
2026-03-28,12675,17140,1.73,56.92,228
2026-03-29,17104,20247,1.43,66.26,191
2026-03-30,14914,16786,1.39,59.46,291
2026-03-31,17731,19126,1.96,65.15,250
2026-04-01,16946,21523,3.95,41.73,12
2026-04-02,16491,20587,3.83,38.19,30
2026-04-03,15222,17389,4.18,36.37,19
2026-04-04,17305,21287,4.49,35.84,12
2026-04-05,17334,19066,3.53,36.76,21
2026-04-06,12953,16492,4.3,47.58,23
2026-04-07,17772,19963,3.11,47.33,35
2026-04-08,13217,15757,3.77,38.5,17
2026-04-09,17615,20003,3.56,47.19,16
2026-04-10,16312,18636,4.13,40.64,28
2026-04-11,14923,17128,4.06,38.73,28
2026-04-12,16134,20331,3.74,35.17,37
2026-04-13,15709,17790,4.11,46.51,18
2026-04-14,13958,18030,4.02,38.56,34
2026-04-15,13214,15745,3.43,48.03,15
2026-04-16,17236,18369,4.2,49.67,22
2026-04-17,13852,15666,4.34,42.92,20
2026-04-18,14811,17063,3.38,45.43,34
2026-04-19,13256,17632,4.04,41.82,30
2026-04-20,15637,20594,3.58,46.06,20
2026-04-21,17131,19484,4.43,48.35,21
2026-04-22,12667,14039,3.42,37.82,35
2026-04-23,15719,19464,3.34,38.99,14
2026-04-24,16136,17875,4.48,45.47,26
2026-04-25,17320,19248,3.62,44.04,25
2026-04-26,12924,16880,4.37,47.34,27
2026-04-27,12255,13963,3.92,41.27,33
2026-04-28,12797,17110,3.83,37.47,33
2026-04-29,13824,15197,4.22,49.81,26
2026-04-30,17898,19750,4.12,40.89,36
2026-05-01,16784,19268,3.1,35.55,10
2026-05-02,12404,16274,4.3,47.19,14
2026-05-03,17989,21807,3.83,46.53,14
2026-05-04,16809,21338,3.57,38.62,18
2026-05-05,17997,21045,4.43,44.09,39
2026-05-06,16544,18424,4.14,35.7,17
2026-05-07,13574,16775,3.75,42.14,12
2026-05-08,15962,20339,4.28,43.28,14
2026-05-09,15037,19842,4.19,43.85,24
2026-05-10,15278,17530,3.93,45.56,28
2026-05-11,14150,18643,3.93,49.71,27
2026-05-12,13358,17264,3.14,45.9,34
2026-05-13,16261,20813,4.18,40.95,32
2026-05-14,15177,19811,4.05,46.95,19
2026-05-15,15472,17825,4.15,35.99,14
2026-05-16,14593,19438,3.74,39.93,20
2026-05-17,16138,20961,3.51,43.06,32
2026-05-18,15445,18380,3.96,37.73,33
2026-05-19,12280,16546,4.31,42.73,27
2026-05-20,16156,19837,3.34,47.33,27
2026-05-21,16699,18380,3.27,36.33,10
2026-05-22,12523,15916,4.34,36.93,35
2026-05-23,17932,22926,3.06,46.99,34
2026-05-24,14261,17547,3.77,37.35,25
2026-05-25,15644,16980,3.42,47.09,26
2026-05-26,17986,20262,4.48,43.05,33
2026-05-27,16821,18346,3.93,40.53,33
2026-05-28,12364,16077,3.06,38.79,16
2026-05-29,17122,19768,4.27,46.24,37
2026-05-30,15345,19922,3.53,40.96,34
2026-05-31,17750,19234,3.27,43.46,26
2026-06-01,17350,20483,2.47,65.14,26
2026-06-02,12066,13298,2.56,71.05,24
2026-06-03,16007,20447,2.65,65.45,14
2026-06-04,13761,18275,2.01,74.01,14
2026-06-05,14324,17057,2.29,62.8,39
2026-06-06,17726,22461,2.7,60.27,28
2026-06-07,12919,15165,2.82,72.98,20
2026-06-08,14928,17557,2.54,70.78,34
2026-06-09,17554,20774,2.2,70.66,31
2026-06-10,16627,17739,2.58,64.33,23
2026-06-11,16234,20816,2.45,65.54,10
2026-06-12,12260,15202,2.25,72.15,17
2026-06-13,17732,21108,2.79,69.09,33
2026-06-14,13118,18006,2.73,61.86,27
2026-06-15,17256,20891,2.78,60.72,31
2026-06-16,15850,17722,2.81,62.46,12
